ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	ORYA-1-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	1	*I	1209	I	3e	3e	ə e	false
2	ORYA-30-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	30	*blood	946	BLOOD	kal	kal	k ɐ l	false
3	ORYA-31-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	31	*bone	1394	BONE	dan	dan	d ɐ n	false
4	ORYA-51-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	51	*breasts	1402	BREAST	mom	mom	m o m	false
5	ORYA-66-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	66	*come	1446	COME	hatan	hatan	h ɐ t ɐ n	false
6	ORYA-61-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	61	*die	1494	DIE	tin	tin	t i n	false
7	ORYA-21-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	21	*dog	2009	DOG	lwana	lwana	l w ɐ n ɐ	false
8	ORYA-54-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	54	*drink	1401	DRINK	otdebin	otdebin	o t d e b i n	false
9	ORYA-39-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	39	*ear	1247	EAR	imwa	imwa	i m w ɐ	false
10	ORYA-40-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	40	*eye	1248	EYE	nwe	nwe	n w e	false
11	ORYA-82-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	82	*fire	221	FIRE	syauk	syauk	s j ɐ u k	false
12	ORYA-19-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	19	*fish	227	FISH	hogwe	hogwe	h o g w e	false
13	ORYA-95-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	95	*full	1429	FULL	beyagwen	beyagwen	b e j ɐ g w e n	false
14	ORYA-48-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	48	*hand	1277	HAND	taha	taha	t ɐ h ɐ	false
15	ORYA-58-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	58	*hear	1408	HEAR	salblan	salblan	s ɐ l b l ɐ n	false
16	ORYA-47-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	47	*knee	1371	KNEE	bokle	bokle	b o k l e	false
17	ORYA-25-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	25	*leaf	628	LEAF	teala	teala	t e ɐ l ɐ	false
18	ORYA-53-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	53	*liver	1224	LIVER	en	en	e n	false
19	ORYA-22-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	22	*louse	1392	LOUSE	kultuk	kultuk	k u l t u k	false
20	ORYA-86-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	86	*mountain	639	MOUNTAIN	kwatap	kwatap	k w ɐ t ɐ p	false
21	ORYA-100-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	100	*name	1405	NAME	bosena	bosena	b o s e n ɐ	false
22	ORYA-96-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	96	*new	1231	NEW	3sena	3sena	ə s e n ɐ	false
23	ORYA-92-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	92	*night	1233	NIGHT	kam	kam	k ɐ m	false
24	ORYA-41-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	41	*nose	1221	NOSE	mase	mase	m ɐ s e	false
25	ORYA-11-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	11	*one	1493	ONE	aha en	aha en	ɐ h ɐ e n	false
26	ORYA-85-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	85	*path	2252	PATH	ora	ora	o r ɐ	false
27	ORYA-18-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	18	*person	683	PERSON	zi	zi	z i	false
28	ORYA-57-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	57	*see	1409	SEE	hlatan	hlatan	h l ɐ t ɐ n	false
29	ORYA-28-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	28	*skin	763	SKIN	sop	sop	s o p	false
30	ORYA-74-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	74	*star	1430	STAR	keis	keis	k e i s	false
31	ORYA-77-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	77	*stone	857	STONE	kaso	kaso	k ɐ s o	false
32	ORYA-72-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	72	*sun	1343	SUN	yakla	yakla	j ɐ k l ɐ	false
33	ORYA-44-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	44	*tongue	1205	TONGUE	mahal	mahal	m ɐ h ɐ l	false
34	ORYA-23-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	23	*tree	906	TREE	te	te	t e	false
35	ORYA-12-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	12	*two	1498	TWO	dandan	dandan	d ɐ n d ɐ n	false
36	ORYA-75-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	75	*water	948	WATER	ho	ho	h o	false
37	ORYA-3-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	3	*we	1212	WE	n3n	n3n	n ə n	false
38	ORYA-2-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	2	*you	1215	THOU	em	em	e m	false
39	ORYA-9-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	9	all	98	ALL	tiNan	tiNan	t i ŋ ɐ n	false
40	ORYA-9-2	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	9	all	98	ALL	kitak	kitak	k i t ɐ k	false
41	ORYA-83-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	83	ash	646	ASH	son	son	s o n	false
42	ORYA-13-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	13	big	1202	BIG	yawala	yawala	j ɐ w ɐ l ɐ	false
43	ORYA-13-2	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	13	big	1202	BIG	mamna	mamna	m ɐ m n ɐ	false
44	ORYA-20-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	20	bird	937	BIRD	mawa	mawa	m ɐ w ɐ	false
45	ORYA-56-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	56	bite	1403	BITE	twinbin	twinbin	t w i n b i n	false
46	ORYA-91-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	91	black	163	BLACK	kakakna	kakakna	k ɐ k ɐ k n ɐ	false
47	ORYA-80-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	80	cloud	1489	CLOUD	ogom	ogom	o g o m	false
48	ORYA-80-2	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	80	cloud	1489	CLOUD	but	but	b u t	false
49	ORYA-94-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	94	cold	1287	COLD	sasana	sasana	s ɐ s ɐ n ɐ	false
50	ORYA-99-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	99	dry	1398	DRY	sasana	sasana	s ɐ s ɐ n ɐ	false
51	ORYA-55-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	55	eat	1336	EAT	tembane gwen	tembane gwen	t e m b ɐ n e g w e n	false
52	ORYA-33-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	33	egg	744	EGG	sik	sik	s i k	false
53	ORYA-64-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	64	fly	1441	FLY (MOVE THROUGH AIR)	ihen	ihen	i h e n	false
54	ORYA-70-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	70	give	1447	GIVE	golblan	golblan	g o l b l ɐ n	false
55	ORYA-97-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	97	good	1035	GOOD	dawem	dawem	d ɐ w e m	false
56	ORYA-32-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	32	grease	323	FAT (ORGANIC SUBSTANCE)	hanan	hanan	h ɐ n ɐ n	false
57	ORYA-88-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	88	green	1425	GREEN	tealaEsesena	tealaEsesena	t e ɐ l ɐ a s e s e n ɐ	false
58	ORYA-37-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	37	hair	1040	HAIR	nol ala	nol ala	n o l ɐ l ɐ	false
59	ORYA-52-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	52	heart	1223	HEART	bwis dan	bwis dan	b w i s d ɐ n	false
60	ORYA-93-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	93	hot	1286	HOT	salsala	salsala	s ɐ l s ɐ l ɐ	false
61	ORYA-62-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	62	kill	1417	KILL	tan	tan	t ɐ n	false
62	ORYA-59-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	59	know	3626	KNOW	tawana	tawana	t ɐ w ɐ n ɐ	false
63	ORYA-14-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	14	long	1203	LONG	blala	blala	b l ɐ l ɐ	false
64	ORYA-10-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	10	many	1198	MANY	beyana	beyana	b e j ɐ n ɐ	false
65	ORYA-73-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	73	moon	1313	MOON	ben	ben	b e n	false
66	ORYA-42-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	42	mouth	674	MOUTH	mip	mip	m i p	false
67	ORYA-50-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	50	neck	1333	NECK	hole	hole	h o l e	false
68	ORYA-76-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	76	rain	2108	RAINING OR RAIN	o	o	o	false
69	ORYA-87-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	87	red	156	RED	kalakala	kalakala	k ɐ l ɐ k ɐ l ɐ	false
70	ORYA-26-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	26	root	670	ROOT	sa	sa	s ɐ	false
71	ORYA-78-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	78	sand	671	SAND	hisglim	hisglim	h i s g l i m	false
72	ORYA-24-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	24	seed	714	SEED	tetandan	tetandan	t e t ɐ n d ɐ n	false
73	ORYA-68-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	68	sit	1416	SIT	nikin	nikin	n i k i n	false
74	ORYA-60-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	60	sleep	1585	SLEEP	nisitan	nisitan	n i s i t ɐ n	false
75	ORYA-15-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	15	small	1246	SMALL	betekna	betekna	b e t e k n ɐ	false
76	ORYA-81-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	81	smoke	778	SMOKE (EXHAUST)	but	but	b u t	false
77	ORYA-69-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	69	stand	1442	STAND	zaun	zaun	z ɐ u n	false
78	ORYA-35-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	35	tail	1220	TAIL	abal	abal	ɐ b ɐ l	false
79	ORYA-5-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	5	that	78	THAT	in	in	i n	false
80	ORYA-4-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	4	this	1214	THIS	an	an	ɐ n	false
81	ORYA-7-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	7	what	1236	WHAT	basa	basa	b ɐ s ɐ	false
82	ORYA-90-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	90	white	1335	WHITE	NapNapna	NapNapna	ŋ ɐ p ŋ ɐ p n ɐ	false
83	ORYA-6-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	6	who	1235	WHO	nara	nara	n ɐ r ɐ	false
84	ORYA-89-1	ORYA	ORYA	orya1242	Orya	Tor-Orya			False	89	yellow	1424	YELLOW	yoNyoNna	yoNyoNna	j o ŋ j o ŋ n ɐ	false
85	BERIK_2-1-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	1	*I	1209	I	ajam	ajam	ɐ dʒ ɐ m	false
86	BERIK_3-1-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	1	*I	1209	I	ai	ai	ɐ i	false
87	BERIK_3-1-2	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	1	*I	1209	I	ajam	ajam	ɐ dʒ ɐ m	false
88	DINEOR-1-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	1	*I	1209	I	ay	ay	ɐ j	false
89	ITIK_2-1-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	1	*I	1209	I	adi	adi	ɐ d i	false
90	KWESTEN-1-1	KWESTEN	KWESTEN	kwes1245	Kwesten	Tor-Orya	Tor		False	1	*I	1209	I	ana	ana	ɐ n ɐ	false
91	MANDER_2-1-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	1	*I	1209	I	ai	ai	ɐ i	false
92	BERIK_2-30-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	30	*blood	946	BLOOD	Ewis	Ewis	a w i s	false
93	BERIK_3-30-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	30	*blood	946	BLOOD	awis	awis	ɐ w i s	false
94	DINEOR-30-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	30	*blood	946	BLOOD	omna	omna	o m n ɐ	false
95	ITIK_2-30-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	30	*blood	946	BLOOD	kwose	kwose	k w o s e	false
96	ITIK_2-30-2	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	30	*blood	946	BLOOD	kusene	kusene	k u s e n e	false
97	KWESTEN-30-1	KWESTEN	KWESTEN	kwes1245	Kwesten	Tor-Orya	Tor		False	30	*blood	946	BLOOD	disan	disan	d i s ɐ n	false
98	MANDER_2-30-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	30	*blood	946	BLOOD	gesa	gesa	g e s ɐ	false
99	BERIK_2-31-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	31	*bone	1394	BONE	Edna	Edna	a d n ɐ	false
100	BERIK_3-31-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	31	*bone	1394	BONE	alna	alna	ɐ l n ɐ	false
101	DINEOR-31-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	31	*bone	1394	BONE	rena	rena	r e n ɐ	false
102	ITIK_2-31-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	31	*bone	1394	BONE	ere	ere	e r e	false
103	ITIK_2-31-2	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	31	*bone	1394	BONE	arene	arene	ɐ r e n e	false
104	KWESTEN-31-1	KWESTEN	KWESTEN	kwes1245	Kwesten	Tor-Orya	Tor		False	31	*bone	1394	BONE	ren	ren	r e n	false
105	MANDER_2-31-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	31	*bone	1394	BONE	kerana	kerana	k e r ɐ n ɐ	false
106	BERIK_2-51-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	51	*breasts	1402	BREAST	mom	mom	m o m	false
107	BERIK_3-51-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	51	*breasts	1402	BREAST	mom	mom	m o m	false
108	DINEOR-51-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	51	*breasts	1402	BREAST	moma	moma	m o m ɐ	false
109	ITIK_2-51-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	51	*breasts	1402	BREAST	mum	mum	m u m	false
110	ITIK_2-51-2	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	51	*breasts	1402	BREAST	muhm	muhm	m u h m	false
111	MANDER_2-51-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	51	*breasts	1402	BREAST	tekera	tekera	t e k e r ɐ	false
112	BERIK_3-66-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	66	*come	1446	COME	jila	jila	dʒ i l ɐ	false
113	DINEOR-66-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	66	*come	1446	COME	masara	masara	m ɐ s ɐ r ɐ	false
114	ITIK_2-66-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	66	*come	1446	COME	sediaka	sediaka	s e d i ɐ k ɐ	false
115	KWESTEN-66-1	KWESTEN	KWESTEN	kwes1245	Kwesten	Tor-Orya	Tor		False	66	*come	1446	COME	ija	ija	i dʒ ɐ	false
116	MANDER_2-66-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	66	*come	1446	COME	fiterfyere	fiterfyere	f i t e r f j e r e	false
117	BERIK_2-61-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	61	*die	1494	DIE	mesteren	mesteren	m e s t e r e n	false
118	BERIK_3-61-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	61	*die	1494	DIE	tere	tere	t e r e	false
119	DINEOR-61-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	61	*die	1494	DIE	mEstrE	mEstrE	m a s t r a	false
120	ITIK_2-61-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	61	*die	1494	DIE	medo	medo	m e d o	false
121	ITIK_2-61-2	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	61	*die	1494	DIE	metir	metir	m e t i r	false
122	MANDER_2-61-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	61	*die	1494	DIE	mestire	mestire	m e s t i r e	false
123	BERIK_3-21-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	21	*dog	2009	DOG	gwala	gwala	g w ɐ l ɐ	false
124	DINEOR-21-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	21	*dog	2009	DOG	godE	godE	g o d a	false
125	KWESTEN-21-1	KWESTEN	KWESTEN	kwes1245	Kwesten	Tor-Orya	Tor		False	21	*dog	2009	DOG	koran	koran	k o r ɐ n	false
126	BERIK_3-54-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	54	*drink	1401	DRINK	telbili	telbili	t e l b i l i	false
127	DINEOR-54-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	54	*drink	1401	DRINK	Erbir	Erbir	a r b i r	false
128	ITIK_2-54-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	54	*drink	1401	DRINK	foi serbir	foi serbir	f o i s e r b i r	false
129	ITIK_2-54-2	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	54	*drink	1401	DRINK	fo seterbie	fo seterbie	f o s e t e r b i e	false
130	MANDER_2-54-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	54	*drink	1401	DRINK	kerbere	kerbere	k e r b e r e	false
131	BERIK_2-39-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	39	*ear	1247	EAR	imw~a	imw~a	i mʷ ɐ	false
132	BERIK_3-39-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	39	*ear	1247	EAR	imwa	imwa	i m w ɐ	false
133	DINEOR-39-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	39	*ear	1247	EAR	yara	yara	j ɐ r ɐ	false
134	ITIK_2-39-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	39	*ear	1247	EAR	yure	yure	j u r e	false
135	ITIK_2-39-2	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	39	*ear	1247	EAR	yerbe	yerbe	j e r b e	false
136	MANDER_2-39-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	39	*ear	1247	EAR	kere	kere	k e r e	false
137	BERIK_2-40-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	40	*eye	1248	EYE	nue	nue	n u e	false
138	BERIK_3-40-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	40	*eye	1248	EYE	nue	nue	n u e	false
139	DINEOR-40-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	40	*eye	1248	EYE	nuei	nuei	n u e i	false
140	ITIK_2-40-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	40	*eye	1248	EYE	nauwe	nauwe	n ɐ u w e	false
141	KWESTEN-40-1	KWESTEN	KWESTEN	kwes1245	Kwesten	Tor-Orya	Tor		False	40	*eye	1248	EYE	nuen	nuen	n u e n	false
142	MANDER_2-40-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	40	*eye	1248	EYE	nuene	nuene	n u e n e	false
143	BERIK_2-82-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	82	*fire	221	FIRE	tokw~a	tokw~a	t o kʷ ɐ	false
144	BERIK_3-82-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	82	*fire	221	FIRE	tokwa	tokwa	t o k w ɐ	false
145	DINEOR-82-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	82	*fire	221	FIRE	misuram	misuram	m i s u r ɐ m	false
146	ITIK_2-82-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	82	*fire	221	FIRE	ti	ti	t i	false
147	KWESTEN-82-1	KWESTEN	KWESTEN	kwes1245	Kwesten	Tor-Orya	Tor		False	82	*fire	221	FIRE	tin	tin	t i n	false
148	MANDER_2-82-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	82	*fire	221	FIRE	git	git	g i t	false
149	BERIK_2-19-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	19	*fish	227	FISH	jigar	jigar	dʒ i g ɐ r	false
150	BERIK_3-19-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	19	*fish	227	FISH	jigal	jigal	dʒ i g ɐ l	false
151	DINEOR-19-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	19	*fish	227	FISH	borE	borE	b o r a	false
152	ITIK_2-19-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	19	*fish	227	FISH	orke	orke	o r k e	false
153	MANDER_2-19-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	19	*fish	227	FISH	bar	bar	b ɐ r	false
154	BERIK_3-95-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	95	*full	1429	FULL	unubuguf	unubuguf	u n u b u g u f	false
155	BERIK_3-48-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	48	*hand	1277	HAND	tafa	tafa	t ɐ f ɐ	false
156	ITIK_2-48-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	48	*hand	1277	HAND	tafer	tafer	t ɐ f e r	false
157	ITIK_2-48-2	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	48	*hand	1277	HAND	tafa	tafa	t ɐ f ɐ	false
158	KWESTEN-48-1	KWESTEN	KWESTEN	kwes1245	Kwesten	Tor-Orya	Tor		False	48	*hand	1277	HAND	tfan	tfan	t f ɐ n	false
159	MANDER_2-48-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	48	*hand	1277	HAND	tafa	tafa	t ɐ f ɐ	false
160	BERIK_2-58-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	58	*hear	1408	HEAR	sarbasin	sarbasin	s ɐ r b ɐ s i n	false
161	BERIK_3-58-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	58	*hear	1408	HEAR	sarbana	sarbana	s ɐ r b ɐ n ɐ	false
162	BERIK_3-58-2	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	58	*hear	1408	HEAR	sarbili	sarbili	s ɐ r b i l i	false
163	DINEOR-58-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	58	*hear	1408	HEAR	guru	guru	g u r u	false
164	ITIK_2-58-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	58	*hear	1408	HEAR	lendemsesar	lendemsesar	l e n d e m s e s ɐ r	false
165	ITIK_2-58-2	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	58	*hear	1408	HEAR	memasat	memasat	m e m ɐ s ɐ t	false
166	MANDER_2-58-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	58	*hear	1408	HEAR	sarer	sarer	s ɐ r e r	false
167	BERIK_2-47-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	47	*knee	1371	KNEE	saman	saman	s ɐ m ɐ n	false
168	BERIK_3-47-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	47	*knee	1371	KNEE	saman	saman	s ɐ m ɐ n	false
169	DINEOR-47-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	47	*knee	1371	KNEE	mokom	mokom	m o k o m	false
170	ITIK_2-47-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	47	*knee	1371	KNEE	moren	moren	m o r e n	false
171	ITIK_2-47-2	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	47	*knee	1371	KNEE	safe	safe	s ɐ f e	false
172	MANDER_2-47-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	47	*knee	1371	KNEE	grun	grun	g r u n	false
173	MANDER_2-47-2	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	47	*knee	1371	KNEE	geron	geron	g e r o n	false
174	BERIK_2-25-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	25	*leaf	628	LEAF	tiala	tiala	t i ɐ l ɐ	false
175	BERIK_3-25-1	BERIK_3	BERIK_3	beri1254	Berik	Tor-Orya	Tor		False	25	*leaf	628	LEAF	tiala	tiala	t i ɐ l ɐ	false
176	DINEOR-25-1	DINEOR	DINEOR	mare1261	Maremgi	Tor-Orya	Tor		False	25	*leaf	628	LEAF	arna	arna	ɐ r n ɐ	false
177	ITIK_2-25-1	ITIK_2	ITIK_2	itik1240	Itik	Tor-Orya	Tor		False	25	*leaf	628	LEAF	tiare	tiare	t i ɐ r e	false
178	MANDER_2-25-1	MANDER_2	MANDER_2	mand1443	Mander	Tor-Orya	Tor		False	25	*leaf	628	LEAF	arene	arene	ɐ r e n e	false
179	BERIK_2-53-1	BERIK_2	BERIK_2	*berik_2	Berik	Tor-Orya	Tor		False	53	*liver	1224	LIVER	ith~an	ith~an	i tʰ ɐ n	false
