ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	AMURDAK-1-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	1	*I	1209	I	Nayiwa	Nayiwa	ŋ ɐ j i w ɐ	false	4 7 6 7 6 7	AXBYBZ	NEJIWE	1	1.N.C 1.E.V 1.J.C 1.I.V 1.W.C 1.E.V	2.0 1.5 1.75 1.3 1.75 0.8	ŋɐjiwɐ	0	1
2	MAWNG-1-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	1	*I	1209	I	Napi	Napi	ŋ ɐ p i	false	4 7 1 7	AXBZ	NEPI	3	3.N.C 3.E.V 3.P.C 3.I.V	2.0 1.5 1.75 0.8	ŋɐpi	0	2
76	IWAIDJA-1-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	1	*I	1209	I	Nabi	Nabi	ŋ ɐ b i	false	4 7 1 7	AXBZ	NEPI	2	2.N.C 2.E.V 2.P.C 2.I.V	2.0 1.5 1.75 0.8	ŋɐbi	0	2
3	AMURDAK-30-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	30	*blood	946	BLOOD	maniNul	maniNul	m ɐ n i ŋ u l	false	4 7 4 7 4 7 5	AXBYBYN	MENINYL	1	1.M.C 1.E.V 1.N.C 1.I.V 1.N.C 1.Y.V 1.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	mɐniŋul	0	3
4	MAWNG-30-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	30	*blood	946	BLOOD	maniNul	maniNul	m ɐ n i ŋ u l	false	4 7 4 7 4 7 5	AXBYBYN	MENINYL	3	3.M.C 3.E.V 3.N.C 3.I.V 3.N.C 3.Y.V 3.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	mɐniŋul	0	3
77	IWAIDJA-30-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	30	*blood	946	BLOOD	maniNul	maniNul	m ɐ n i ŋ u l	false	4 7 4 7 4 7 5	AXBYBYN	MENINYL	2	2.M.C 2.E.V 2.N.C 2.I.V 2.N.C 2.Y.V 2.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	mɐniŋul	0	3
5	AMURDAK-31-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	31	*bone	1394	BONE	ikada	ikada	i k ɐ d ɐ	false	7 1 7 1 7	XBYBZ	IKETE	1	1.I.V 1.K.C 1.E.V 1.T.C 1.E.V	1.5 1.75 1.3 1.75 0.8	ikɐdɐ	0	4
6	MAWNG-31-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	31	*bone	1394	BONE	yayik	yayik	j ɐ j i k	false	6 7 6 7 1	AXBYN	JEJIK	3	3.J.C 3.E.V 3.J.C 3.I.V 3.K.c	2.0 1.5 1.75 1.3 0.8	jɐjik	0	6
78	IWAIDJA-31-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	31	*bone	1394	BONE	kiLirk	kiLirk	k i ʎ i r k	false	1 7 5 7 5 1	AXBYLN	KILIRK	2	2.K.C 2.I.V 2.L.C 2.I.V 2.R.c 2.K.c	2.0 1.5 1.75 1.3 1.1 0.8	kiʎirk	0	5
7	MAWNG-51-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	51	*breasts	1402	BREAST	ya5Tuk	ya5Tuk	j ɐ ɲ c u k	false	6 7 4 1 7 1	AXMBYN	JENCYK	3	3.J.C 3.E.V 3.N.c 3.C.C 3.Y.V 3.K.c	2.0 1.5 1.1 1.75 1.3 0.8	jɐɲcuk	0	8
79	IWAIDJA-51-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	51	*breasts	1402	BREAST	amburyak	amburyak	ɐ m b u r j ɐ k	false	7 4 1 7 5 6 7 1	XMBYBCYN	EMPYRJEK	2	2.E.V 2.M.c 2.P.C 2.Y.V 2.R.C 2.J.C 2.E.V 2.K.c	1.5 1.1 1.75 1.3 1.75 1.5 1.3 0.8	ɐmburjɐk	0	7
8	AMURDAK-66-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	66	*come	1446	COME	rimin	rimin	r i m i n	false	5 7 4 7 4	AXBYN	RIMIN	1	1.R.C 1.I.V 1.M.C 1.I.V 1.N.c	2.0 1.5 1.75 1.3 0.8	rimin	0	9
9	MAWNG-66-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	66	*come	1446	COME	a	a	ɐ	false	7	X	E	3	3.E.V	1.5	ɐ	0	11
80	IWAIDJA-66-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	66	*come	1446	COME	ara	ara	ɐ r ɐ	false	7 5 7	XBZ	ERE	2	2.E.V 2.R.C 2.E.V	1.5 1.75 0.8	ɐrɐ	0	10
10	AMURDAK-61-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	61	*die	1494	DIE	yunan	yunan	j u n ɐ n	false	6 7 4 7 4	AXBYN	JYNEN	1	1.J.C 1.Y.V 1.N.C 1.E.V 1.N.c	2.0 1.5 1.75 1.3 0.8	junɐn	0	12
11	MAWNG-61-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	61	*die	1494	DIE	maTu	maTu	m ɐ c u	false	4 7 1 7	AXBZ	MECY	3	3.M.C 3.E.V 3.C.C 3.Y.V	2.0 1.5 1.75 0.8	mɐcu	0	14
81	IWAIDJA-61-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	61	*die	1494	DIE	baTu	baTu	b ɐ c u	false	1 7 1 7	AXBZ	PECY	2	2.P.C 2.E.V 2.C.C 2.Y.V	2.0 1.5 1.75 0.8	bɐcu	0	13
12	AMURDAK-21-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	21	*dog	2009	DOG	naki	naki	n ɐ k i	false	4 7 1 7	AXBZ	NEKI	1	1.N.C 1.E.V 1.K.C 1.I.V	2.0 1.5 1.75 0.8	nɐki	0	15
13	MAWNG-21-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	21	*dog	2009	DOG	luluT	luluT	l u l u c	false	5 7 5 7 1	AXBYN	LYLYC	3	3.L.C 3.Y.V 3.L.C 3.Y.V 3.C.c	2.0 1.5 1.75 1.3 0.8	luluc	0	16
82	IWAIDJA-21-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	21	*dog	2009	DOG	naki	naki	n ɐ k i	false	4 7 1 7	AXBZ	NEKI	2	2.N.C 2.E.V 2.K.C 2.I.V	2.0 1.5 1.75 0.8	nɐki	0	15
14	AMURDAK-54-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	54	*drink	1401	DRINK	ya	ya	j ɐ	false	6 7	AX	JE	1	1.J.C 1.E.V	2.0 1.5	jɐ	0	17
15	MAWNG-54-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	54	*drink	1401	DRINK	la	la	l ɐ	false	5 7	AX	LE	3	3.L.C 3.E.V	2.0 1.5	lɐ	0	18
83	IWAIDJA-54-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	54	*drink	1401	DRINK	La	La	ʎ ɐ	false	5 7	AX	LE	2	2.L.C 2.E.V	2.0 1.5	ʎɐ	0	18
16	AMURDAK-39-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	39	*ear	1247	EAR	raT	raT	r ɐ c	false	5 7 1	AXN	REC	1	1.R.C 1.E.V 1.C.c	2.0 1.5 0.8	rɐc	0	19
17	MAWNG-39-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	39	*ear	1247	EAR	lanNalk	lanNalk	l ɐ n ŋ ɐ l k	false	5 7 4 4 7 5 1	AXMBYLN	LENNELK	3	3.L.C 3.E.V 3.N.c 3.N.C 3.E.V 3.L.c 3.K.c	2.0 1.5 1.1 1.75 1.3 1.1 0.8	lɐnŋɐlk	0	21
84	IWAIDJA-39-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	39	*ear	1247	EAR	kalaTar	kalaTar	k ɐ l ɐ c ɐ r	false	1 7 5 7 1 7 5	AXBYBYN	KELECER	2	2.K.C 2.E.V 2.L.C 2.E.V 2.C.C 2.E.V 2.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	kɐlɐcɐr	0	20
18	AMURDAK-40-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	40	*eye	1248	EYE	waLiwu	waLiwu	w ɐ ʎ i w u	false	6 7 5 7 6 7	AXBYBZ	WELIWY	1	1.W.C 1.E.V 1.L.C 1.I.V 1.W.C 1.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	wɐʎiwu	0	22
19	MAWNG-40-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	40	*eye	1248	EYE	wun	wun	w u n	false	6 7 4	AXN	WYN	3	3.W.C 3.Y.V 3.N.c	2.0 1.5 0.8	wun	0	24
85	IWAIDJA-40-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	40	*eye	1248	EYE	yara	yara	j ɐ r ɐ	false	6 7 5 7	AXBZ	JERE	2	2.J.C 2.E.V 2.R.C 2.E.V	2.0 1.5 1.75 0.8	jɐrɐ	0	23
20	AMURDAK-82-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	82	*fire	221	FIRE	uTali	uTali	u c ɐ l i	false	7 1 7 5 7	XBYBZ	YCELI	1	1.Y.V 1.C.C 1.E.V 1.L.C 1.I.V	1.5 1.75 1.3 1.75 0.8	ucɐli	0	25
21	MAWNG-82-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	82	*fire	221	FIRE	yuNku	yuNku	j u ŋ k u	false	6 7 4 1 7	AXMBZ	JYNKY	3	3.J.C 3.Y.V 3.N.c 3.K.C 3.Y.V	2.0 1.5 1.1 1.75 0.8	juŋku	0	26
86	IWAIDJA-82-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	82	*fire	221	FIRE	kuTali	kuTali	k u c ɐ l i	false	1 7 1 7 5 7	AXBYBZ	KYCELI	2	2.K.C 2.Y.V 2.C.C 2.E.V 2.L.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kucɐli	0	25
22	AMURDAK-19-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	19	*fish	227	FISH	alkaT	alkaT	ɐ l k ɐ c	false	7 5 1 7 1	XMBYN	ELKEC	1	1.E.V 1.L.c 1.K.C 1.E.V 1.C.c	1.5 1.1 1.75 1.3 0.8	ɐlkɐc	0	27
23	MAWNG-19-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	19	*fish	227	FISH	kiyap	kiyap	k i j ɐ p	false	1 7 6 7 1	AXBYN	KIJEP	3	3.K.C 3.I.V 3.J.C 3.E.V 3.P.c	2.0 1.5 1.75 1.3 0.8	kijɐp	0	29
87	IWAIDJA-19-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	19	*fish	227	FISH	yab	yab	j ɐ b	false	6 7 1	AXN	JEP	2	2.J.C 2.E.V 2.P.c	2.0 1.5 0.8	jɐb	0	28
24	AMURDAK-95-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	95	*full	1429	FULL	mambal	mambal	m ɐ m b ɐ l	false	4 7 4 1 7 5	AXMBYN	MEMPEL	1	1.M.C 1.E.V 1.M.c 1.P.C 1.E.V 1.L.c	2.0 1.5 1.1 1.75 1.3 0.8	mɐmbɐl	0	30
25	MAWNG-95-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	95	*full	1429	FULL	mampal	mampal	m ɐ m p ɐ l	false	4 7 4 1 7 5	AXMBYN	MEMPEL	3	3.M.C 3.E.V 3.M.c 3.P.C 3.E.V 3.L.c	2.0 1.5 1.1 1.75 1.3 0.8	mɐmpɐl	0	30
88	IWAIDJA-95-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	95	*full	1429	FULL	mambal	mambal	m ɐ m b ɐ l	false	4 7 4 1 7 5	AXMBYN	MEMPEL	2	2.M.C 2.E.V 2.M.c 2.P.C 2.E.V 2.L.c	2.0 1.5 1.1 1.75 1.3 0.8	mɐmbɐl	0	30
26	AMURDAK-48-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	48	*hand	1277	HAND	mara	mara	m ɐ r ɐ	false	4 7 5 7	AXBZ	MERE	1	1.M.C 1.E.V 1.R.C 1.E.V	2.0 1.5 1.75 0.8	mɐrɐ	0	31
27	MAWNG-48-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	48	*hand	1277	HAND	yunu	yunu	j u n u	false	6 7 4 7	AXBZ	JYNY	3	3.J.C 3.Y.V 3.N.C 3.Y.V	2.0 1.5 1.75 0.8	junu	0	33
89	IWAIDJA-48-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	48	*hand	1277	HAND	birkalk	birkalk	b i r k ɐ l k	false	1 7 5 1 7 5 1	AXMBYLN	PIRKELK	2	2.P.C 2.I.V 2.R.c 2.K.C 2.E.V 2.L.c 2.K.c	2.0 1.5 1.1 1.75 1.3 1.1 0.8	birkɐlk	0	32
28	AMURDAK-58-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	58	*hear	1408	HEAR	aldiki5	aldiki5	ɐ l d i k i ɲ	false	7 5 1 7 1 7 4	XMBYBYN	ELTIKIN	1	1.E.V 1.L.c 1.T.C 1.I.V 1.K.C 1.I.V 1.N.c	1.5 1.1 1.75 1.3 1.75 1.3 0.8	ɐldikiɲ	0	34
29	MAWNG-58-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	58	*hear	1408	HEAR	alyu	alyu	ɐ l j u	false	7 5 6 7	XBCZ	ELJY	3	3.E.V 3.L.C 3.J.C 3.Y.V	1.5 1.75 1.5 0.8	ɐlju	0	36
90	IWAIDJA-58-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	58	*hear	1408	HEAR	alidba	alidba	ɐ l i d b ɐ	false	7 5 7 1 1 7	XBYMBZ	ELITPE	2	2.E.V 2.L.C 2.I.V 2.T.c 2.P.C 2.E.V	1.5 1.75 1.3 1.1 1.75 0.8	ɐlidbɐ	0	35
30	MAWNG-34-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	34	*horn	1393	HORN (ANATOMY)	lanNalk	lanNalk	l ɐ n ŋ ɐ l k	false	5 7 4 4 7 5 1	AXMBYLN	LENNELK	3	3.L.C 3.E.V 3.N.c 3.N.C 3.E.V 3.L.c 3.K.c	2.0 1.5 1.1 1.75 1.3 1.1 0.8	lɐnŋɐlk	1	38
91	IWAIDJA-34-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	34	*horn	1393	HORN (ANATOMY)	kalaTar	kalaTar	k ɐ l ɐ c ɐ r	false	1 7 5 7 1 7 5	AXBYBYN	KELECER	2	2.K.C 2.E.V 2.L.C 2.E.V 2.C.C 2.E.V 2.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	kɐlɐcɐr	1	37
31	AMURDAK-47-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	47	*knee	1371	KNEE	miri	miri	m i r i	false	4 7 5 7	AXBZ	MIRI	1	1.M.C 1.I.V 1.R.C 1.I.V	2.0 1.5 1.75 0.8	miri	0	39
32	MAWNG-47-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	47	*knee	1371	KNEE	katawar	katawar	k ɐ t ɐ w ɐ r	false	1 7 1 7 6 7 5	AXBYBYN	KETEWER	3	3.K.C 3.E.V 3.T.C 3.E.V 3.W.C 3.E.V 3.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	kɐtɐwɐr	0	41
92	IWAIDJA-47-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	47	*knee	1371	KNEE	midburyuwu	midburyuwu	m i d b u r j u w u	false	4 7 1 1 7 5 6 7 6 7	AXMBYBCYBZ	MITPYRJYWY	2	2.M.C 2.I.V 2.T.c 2.P.C 2.Y.V 2.R.C 2.J.C 2.Y.V 2.W.C 2.Y.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 1.3 1.75 0.8	midburjuwu	0	40
33	AMURDAK-25-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	25	*leaf	628	LEAF	marar	marar	m ɐ r ɐ r	false	4 7 5 7 5	AXBYN	MERER	1	1.M.C 1.E.V 1.R.C 1.E.V 1.R.c	2.0 1.5 1.75 1.3 0.8	mɐrɐr	0	42
34	MAWNG-25-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	25	*leaf	628	LEAF	wiya	wiya	w i j ɐ	false	6 7 6 7	AXBZ	WIJE	3	3.W.C 3.I.V 3.J.C 3.E.V	2.0 1.5 1.75 0.8	wijɐ	0	43
93	IWAIDJA-25-1	IWAIDJA	IWAIDJA	iwai1244	Iwaidja	Iwaidjan Proper	Central Iwaidjic		False	25	*leaf	628	LEAF	maLar	maLar	m ɐ ʎ ɐ r	false	4 7 5 7 5	AXBYN	MELER	2	2.M.C 2.E.V 2.L.C 2.E.V 2.R.c	2.0 1.5 1.75 1.3 0.8	mɐʎɐr	0	42
35	AMURDAK-53-1	AMURDAK	AMURDAK	amar1271	Amurdak	Iwaidjan Proper			False	53	*liver	1224	LIVER	kalNkit	kalNkit	k ɐ l ŋ k i t	false	1 7 5 4 1 7 1	AXLMBYN	KELNKIT	1	1.K.C 1.E.V 1.L.c 1.N.c 1.K.C 1.I.V 1.T.c	2.0 1.5 1.1 1.1 1.75 1.3 0.8	kɐlŋkit	0	44
36	MAWNG-53-1	MAWNG	MAWNG	maun1240	Mawng	Iwaidjan Proper			False	53	*liver	1224	LIVER	NalgiT	NalgiT	ŋ ɐ l g i c	false	4 7 5 1 7 1	AXMBYN	NELKIC	3	3.N.C 3.E.V 3.L.c 3.K.C 3.I.V 3.C.c	2.0 1.5 1.1 1.75 1.3 0.8	ŋɐlgic	0	45
